product_id,sku,brand,product_type,technical_maturity_bucket,legacy_spec_present,required_definition_count,required_fact_present_count,required_fact_evidenced_count,missing_required_definitions,conflict_count,evidence_missing_count
1044,1012-0010,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1045,1012-0030,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1046,1012-2005,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1047,1012-3010,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1048,1012-3015,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1049,1012-3020,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1050,1021-2005,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1051,1022-1010,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1052,1022-1015,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1053,1022-4200,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1054,1022-4300,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1055,1030-2010,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1056,1030-2051,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1057,1030-2056,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1058,1030-2061,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1059,1030-2100,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
1060,1031-2005,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1061,1031-2010,Dasqua | داسکوا,,T0_NO_TECH_DATA,False,0,0,0,,0,0
1062,1041-0005,Dasqua | داسکوا,,T1_LEGACY_ONLY,True,0,0,0,,0,0
